,cocoId,cocoSplit,cropBox,loss,nsdId,flagged,BOLD5000,shared1000,subject1_rep0,subject1_rep1,subject1_rep2,subject2_rep0,subject2_rep1,subject2_rep2,subject3_rep0,subject3_rep1,subject3_rep2,subject4_rep0,subject4_rep1,subject4_rep2,subject5_rep0,subject5_rep1,subject5_rep2,subject6_rep0,subject6_rep1,subject6_rep2,subject7_rep0,subject7_rep1,subject7_rep2,subject8_rep0,subject8_rep1,subject8_rep2,coco_label,category,supercategory
2950,262145,train2017,"(0, 0, 0.16640625, 0.16640625)",0.09375,2950,False,True,True,2616,9716,27566,2616,9716,27566,2616,9716,27566,2616,9716,27566,2616,9716,27566,2616,9716,27566,2616,9716,27566,2616,9716,27566,1,person,person
2990,262239,train2017,"(0, 0, 0.1671875, 0.1671875)",0.1,2990,False,True,True,18458,18697,27711,18458,18697,27711,18458,18697,27711,18458,18697,27711,18458,18697,27711,18458,18697,27711,18458,18697,27711,18458,18697,27711,1,person,person
3049,262414,train2017,"(0, 0, 0.125, 0.125)",0.0,3049,False,True,True,6299,6448,6697,6299,6448,6697,6299,6448,6697,6299,6448,6697,6299,6448,6697,6299,6448,6697,6299,6448,6697,6299,6448,6697,1,person,person
3077,524646,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,3077,False,True,True,4289,4515,4537,4289,4515,4537,4289,4515,4537,4289,4515,4537,4289,4515,4537,4289,4515,4537,4289,4515,4537,4289,4515,4537,1,person,person
3146,262690,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,3146,False,True,True,8087,8443,26807,8087,8443,26807,8087,8443,26807,8087,8443,26807,8087,8443,26807,8087,8443,26807,8087,8443,26807,8087,8443,26807,85,clock,indoor
3157,584,train2017,"(0, 0, 0.1671875, 0.1671875)",0.1428571428571428,3157,False,True,True,1125,7990,8592,1125,7990,8592,1125,7990,8592,1125,7990,8592,1125,7990,8592,1125,7990,8592,1125,7990,8592,1125,7990,8592,50,spoon,kitchen
3164,605,train2017,"(0, 0, 0.125, 0.125)",0.0,3164,False,True,True,11592,17581,17602,11592,17581,17602,11592,17581,17602,11592,17581,17602,11592,17581,17602,11592,17581,17602,11592,17581,17602,11592,17581,17602,47,cup,kitchen
3171,625,train2017,"(0, 0, 0.1515625, 0.1515625)",0.0,3171,False,True,True,1798,12368,13388,1798,12368,13388,1798,12368,13388,1798,12368,13388,1798,12368,13388,1798,12368,13388,1798,12368,13388,1798,12368,13388,1,person,person
3181,650,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,3181,False,True,True,7737,7866,26679,7737,7866,26679,7737,7866,26679,7737,7866,26679,7737,7866,26679,7737,7866,26679,7737,7866,26679,7737,7866,26679,3,car,vehicle
3386,1308,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,3386,False,True,True,11569,11797,23599,11569,11797,23599,11569,11797,23599,11569,11797,23599,11569,11797,23599,11569,11797,23599,11569,11797,23599,11569,11797,23599,1,person,person
3434,263599,train2017,"(0, 0, 0.16796875, 0.16796875)",0.0,3434,False,True,True,17977,18087,18279,17977,18087,18279,17977,18087,18279,17977,18087,18279,17977,18087,18279,17977,18087,18279,17977,18087,18279,17977,18087,18279,5,airplane,vehicle
3449,525790,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,3449,False,True,True,3270,3302,3635,3270,3302,3635,3270,3302,3635,3270,3302,3635,3270,3302,3635,3270,3302,3635,3270,3302,3635,3270,3302,3635,1,person,person
3489,525932,train2017,"(0, 0, 0.14765625, 0.14765625)",0.0,3489,False,True,True,6982,6983,11310,6982,6983,11310,6982,6983,11310,6982,6983,11310,6982,6983,11310,6982,6983,11310,6982,6983,11310,6982,6983,11310,23,bear,animal
3626,264244,train2017,"(0, 0.3359375, 0, 0)",0.0,3626,False,True,True,575,800,1265,575,800,1265,575,800,1265,575,800,1265,575,800,1265,575,800,1265,575,800,1265,575,800,1265,1,person,person
3682,264396,train2017,"(0, 0, 0.125, 0.125)",0.0,3682,False,True,True,2759,5087,21562,2759,5087,21562,2759,5087,21562,2759,5087,21562,2759,5087,21562,2759,5087,21562,2759,5087,21562,2759,5087,21562,3,car,vehicle
3687,2270,train2017,"(0, 0, 0.125, 0.125)",0.0769230769230769,3687,False,True,True,13281,19130,19193,13281,19130,19193,13281,19130,19193,13281,19130,19193,13281,19130,19193,13281,19130,19193,13281,19130,19193,13281,19130,19193,47,cup,kitchen
3729,2372,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,3729,False,True,True,17912,19485,24781,17912,19485,24781,17912,19485,24781,17912,19485,24781,17912,19485,24781,17912,19485,24781,17912,19485,24781,17912,19485,24781,1,person,person
3809,264735,train2017,"(0, 0, 0.16640625, 0.16640625)",0.1,3809,False,True,True,12099,12142,12249,12099,12142,12249,12099,12142,12249,12099,12142,12249,12099,12142,12249,12099,12142,12249,12099,12142,12249,12099,12142,12249,21,cow,animal
3842,526968,train2017,"(0, 0, 0.16796875, 0.16796875)",0.0,3842,False,True,True,17803,18086,18088,17803,18086,18088,17803,18086,18088,17803,18086,18088,17803,18086,18088,17803,18086,18088,17803,18086,18088,17803,18086,18088,1,person,person
3847,526980,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,3847,False,True,True,6541,6887,6939,6541,6887,6939,6541,6887,6939,6541,6887,6939,6541,6887,6939,6541,6887,6939,6541,6887,6939,6541,6887,6939,70,toilet,furniture
3856,274108,train2017,"(0, 0, 0.125, 0.125)",0.0,3856,False,True,True,8137,8257,8758,8137,8257,8758,8137,8257,8758,8137,8257,8758,8137,8257,8758,8137,8257,8758,8137,8257,8758,8137,8257,8758,1,person,person
3913,265023,train2017,"(0, 0, 0.125, 0.125)",0.1,3913,False,True,True,7033,7063,12873,7033,7063,12873,7033,7063,12873,7033,7063,12873,7033,7063,12873,7033,7063,12873,7033,7063,12873,7033,7063,12873,1,person,person
3951,265150,train2017,"(0.125, 0.125, 0, 0)",0.0,3951,False,True,True,4676,7914,24007,4676,7914,24007,4676,7914,24007,4676,7914,24007,4676,7914,24007,4676,7914,24007,4676,7914,24007,4676,7914,24007,85,clock,indoor
4051,265453,train2017,"(0, 0, 0.13203125, 0.13203125)",0.0,4051,False,True,True,16776,16914,17110,16776,16914,17110,16776,16914,17110,16776,16914,17110,16776,16914,17110,16776,16914,17110,16776,16914,17110,16776,16914,17110,1,person,person
4058,527618,train2017,"(0, 0, 0.125, 0.125)",0.0,4058,False,True,True,10300,10828,23867,10300,10828,23867,10300,10828,23867,10300,10828,23867,10300,10828,23867,10300,10828,23867,10300,10828,23867,10300,10828,23867,25,giraffe,animal
4129,3521,train2017,"(0, 0.25, 0, 0)",0.0,4129,False,True,True,17580,17658,23723,17580,17658,23723,17580,17658,23723,17580,17658,23723,17580,17658,23723,17580,17658,23723,17580,17658,23723,17580,17658,23723,1,person,person
4156,265745,train2017,"(0, 0, 0.125, 0.125)",0.0,4156,False,True,True,17393,17588,26523,17393,17588,26523,17393,17588,26523,17393,17588,26523,17393,17588,26523,17393,17588,26523,17393,17588,26523,17393,17588,26523,47,cup,kitchen
4249,558788,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,4249,False,True,True,4965,8106,8269,4965,8106,8269,4965,8106,8269,4965,8106,8269,4965,8106,8269,4965,8106,8269,4965,8106,8269,4965,8106,8269,5,airplane,vehicle
4325,393907,train2017,"(0, 0, 0.12578125, 0.12578125)",0.0,4325,False,True,True,21754,29432,29630,21754,29432,29630,21754,29432,29630,21754,29432,29630,21754,29432,29630,21754,29432,29630,21754,29432,29630,21754,29432,29630,16,bird,animal
